Time,outdoor_temperature,outdoor_temperature_average24h,energy_manager_state,system_off,index,desired_room_temperature_setpoint_heating,desired_room_temperature_setpoint,current_room_temperature,current_room_humidity,current_special_function,heating_state,circuit_state,current_circuit_flow_temperature,heating_circuit_flow_setpoint,calculated_energy_manager_state,current_dhw_temperature
2024-06-11 01:23:00.460354,10.0,12.730469,HEATING,False,255,19.0,19.0,18.75,50.0,REGULAR,HEATING_UP,HEATING,30.0,29.50673,HEATING_ACTIVE,45.5
2024-06-11 01:24:00.468761,10.0,12.730469,HEATING,False,255,19.0,19.0,18.75,49.0,REGULAR,HEATING_UP,HEATING,30.0,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:25:00.571604,10.0,12.730469,HEATING,False,255,19.0,19.0,18.75,49.0,REGULAR,HEATING_UP,HEATING,30.0,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:26:01.029471,10.0,12.730469,HEATING,False,255,19.0,19.0,18.75,49.0,REGULAR,HEATING_UP,HEATING,30.0,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:27:07.476116,10.0,12.730469,HEATING,False,255,19.0,19.0,18.75,49.0,REGULAR,HEATING_UP,HEATING,30.0,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:28:00.595741,10.0,12.730469,HEATING,False,255,19.0,19.0,18.75,49.0,REGULAR,HEATING_UP,HEATING,30.0,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:29:00.430172,9.855469,12.730469,HEATING,False,255,19.0,19.0,18.75,49.0,REGULAR,HEATING_UP,HEATING,30.5,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:30:00.395874,9.855469,12.730469,HEATING,False,255,19.0,19.0,18.75,49.0,REGULAR,HEATING_UP,HEATING,30.5,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:31:00.576920,9.855469,12.730469,HEATING,False,255,19.0,19.0,18.75,49.0,REGULAR,HEATING_UP,HEATING,30.5,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:32:00.420373,9.855469,12.730469,HEATING,False,255,19.0,19.0,18.75,49.0,REGULAR,HEATING_UP,HEATING,30.5,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:33:00.439904,9.855469,12.730469,HEATING,False,255,19.0,19.0,18.75,49.0,REGULAR,HEATING_UP,HEATING,30.5,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:34:00.605094,9.855469,12.730469,HEATING,False,255,19.0,19.0,18.75,50.0,REGULAR,HEATING_UP,HEATING,30.5,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:35:00.404859,9.855469,12.730469,HEATING,False,255,19.0,19.0,18.75,50.0,REGULAR,HEATING_UP,HEATING,30.5,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:36:00.422273,9.855469,12.730469,HEATING,False,255,19.0,19.0,18.75,50.0,REGULAR,HEATING_UP,HEATING,30.5,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:37:00.542491,9.855469,12.730469,HEATING,False,255,19.0,19.0,18.75,50.0,REGULAR,HEATING_UP,HEATING,30.5,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:38:00.412147,9.855469,12.730469,HEATING,False,255,19.0,19.0,18.75,50.0,REGULAR,HEATING_UP,HEATING,30.5,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:39:00.464647,9.855469,12.730469,HEATING,False,255,19.0,19.0,18.75,50.0,REGULAR,HEATING_UP,HEATING,31.0,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:40:00.730766,9.855469,12.730469,HEATING,False,255,19.0,19.0,18.75,50.0,REGULAR,HEATING_UP,HEATING,31.0,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:41:00.488163,9.855469,12.730469,HEATING,False,255,19.0,19.0,18.75,50.0,REGULAR,HEATING_UP,HEATING,31.0,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:42:00.551576,9.855469,12.730469,HEATING,False,255,19.0,19.0,18.75,50.0,REGULAR,HEATING_UP,HEATING,31.0,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:43:00.603433,9.855469,12.730469,HEATING,False,255,19.0,19.0,18.75,50.0,REGULAR,HEATING_UP,HEATING,31.0,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:44:00.550626,9.707031,12.730469,HEATING,False,255,19.0,19.0,18.875,50.0,REGULAR,HEATING_UP,HEATING,31.0,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:45:00.611084,9.707031,12.730469,HEATING,False,255,19.0,19.0,18.875,50.0,REGULAR,HEATING_UP,HEATING,31.0,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:46:00.679771,9.707031,12.730469,HEATING,False,255,19.0,19.0,18.875,50.0,REGULAR,HEATING_UP,HEATING,31.0,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:47:00.624065,9.707031,12.730469,HEATING,False,255,19.0,19.0,18.875,50.0,REGULAR,HEATING_UP,HEATING,31.0,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:48:00.929842,9.707031,12.730469,HEATING,False,255,19.0,19.0,18.875,50.0,REGULAR,HEATING_UP,HEATING,31.0,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:49:00.637893,9.707031,12.730469,HEATING,False,255,19.0,19.0,18.875,49.0,REGULAR,HEATING_UP,HEATING,31.5,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:50:00.612037,9.707031,12.730469,HEATING,False,255,19.0,19.0,18.875,49.0,REGULAR,HEATING_UP,HEATING,31.5,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:51:00.446872,9.707031,12.730469,HEATING,False,255,19.0,19.0,18.875,49.0,REGULAR,HEATING_UP,HEATING,31.5,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:52:00.692757,9.707031,12.730469,HEATING,False,255,19.0,19.0,18.875,49.0,REGULAR,HEATING_UP,HEATING,31.5,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:53:00.412317,9.707031,12.730469,HEATING,False,255,19.0,19.0,18.875,49.0,REGULAR,HEATING_UP,HEATING,31.5,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:54:00.379681,9.707031,12.730469,HEATING,False,255,19.0,19.0,18.875,49.0,REGULAR,HEATING_UP,HEATING,31.5,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:55:00.653425,9.707031,12.730469,HEATING,False,255,19.0,19.0,18.875,49.0,REGULAR,HEATING_UP,HEATING,31.5,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:56:00.448416,9.707031,12.730469,HEATING,False,255,19.0,19.0,18.875,49.0,REGULAR,HEATING_UP,HEATING,31.5,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:57:00.451933,9.707031,12.730469,HEATING,False,255,19.0,19.0,18.875,49.0,REGULAR,HEATING_UP,HEATING,31.5,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:58:00.581844,9.707031,12.730469,HEATING,False,255,19.0,19.0,18.875,49.0,REGULAR,HEATING_UP,HEATING,31.5,29.50673,HEATING_ACTIVE,45.0
2024-06-11 01:59:00.421829,9.707031,12.730469,HEATING,False,255,19.0,19.0,18.875,50.0,REGULAR,HEATING_UP,HEATING,31.5,29.50673,HEATING_ACTIVE,45.0
2024-06-11 02:00:00.508529,9.707031,12.730469,HEATING,False,255,19.0,19.0,18.875,50.0,REGULAR,HEATING_UP,HEATING,31.5,29.50673,HEATING_ACTIVE,45.0
2024-06-11 02:01:00.771767,9.707031,12.730469,HEATING,False,255,19.0,19.0,18.875,50.0,REGULAR,HEATING_UP,HEATING,31.5,29.50673,HEATING_ACTIVE,45.0
2024-06-11 02:02:00.431550,9.707031,12.730469,HEATING,False,255,19.0,19.0,18.875,50.0,REGULAR,HEATING_UP,HEATING,31.5,29.50673,HEATING_ACTIVE,45.0
2024-06-11 02:03:00.415514,9.707031,12.582031,HEATING,False,255,19.0,19.0,18.875,50.0,REGULAR,HEATING_UP,HEATING,31.5,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:04:00.649136,9.707031,12.582031,HEATING,False,255,19.0,19.0,18.875,49.0,REGULAR,HEATING_UP,HEATING,32.0,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:05:00.473072,9.707031,12.582031,HEATING,False,255,19.0,19.0,18.875,49.0,REGULAR,HEATING_UP,HEATING,32.0,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:06:01.490653,9.707031,12.582031,HEATING,False,255,19.0,19.0,18.875,49.0,REGULAR,HEATING_UP,HEATING,32.0,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:07:15.616358,9.707031,12.582031,HEATING,False,255,19.0,19.0,18.875,49.0,REGULAR,HEATING_UP,HEATING,32.0,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:08:00.588538,9.707031,12.582031,HEATING,False,255,19.0,19.0,18.875,49.0,REGULAR,HEATING_UP,HEATING,32.0,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:09:00.713978,9.707031,12.582031,HEATING,False,255,19.0,19.0,18.9375,49.0,REGULAR,HEATING_UP,HEATING,28.0,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:10:00.756643,9.707031,12.582031,HEATING,False,255,19.0,19.0,18.9375,49.0,REGULAR,HEATING_UP,HEATING,28.0,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:11:00.418795,9.707031,12.582031,HEATING,False,255,19.0,19.0,18.9375,49.0,REGULAR,HEATING_UP,HEATING,28.0,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:12:00.402280,9.707031,12.582031,HEATING,False,255,19.0,19.0,18.9375,49.0,REGULAR,HEATING_UP,HEATING,28.0,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:13:00.585570,9.707031,12.582031,HEATING,False,255,19.0,19.0,18.9375,49.0,REGULAR,HEATING_UP,HEATING,28.0,29.648489,HEATING_ACTIVE,45.0
